txn_id,value_date,narration,credit_paise,debit_paise,balance_paise
BNK0001,2026-01-09,UTR8973915 RAZORPAYSOFTWA,1798636,0,6798636
BNK0002,2026-01-10,IMPS/UTR3592974/RAZORPAY/COLLECTION,3111391,0,9910027
BNK0003,2026-01-11,UTR30113363 RAZORPAYSOFTWA,2165742,0,12075769
BNK0004,2026-01-15,NEFT-VENDORREFUND-BILL2290,593152,0,12668921
BNK0005,2026-01-17,UTR8795419 RAZORPAYSOFTWA,2447172,0,15116093
BNK0006,2026-01-18,IMPS/UTR6120253/RAZORPAY/COLLECTION,2297647,0,17413740
BNK0007,2026-01-18,NEFT-RAZORPAYSOFT-UTR6672134-SETTLEMENT,3614386,0,21028126
BNK0008,2026-01-22,NEFT-RAZORPAYSOFT-UTR1463060-SETTLEMENT,2679495,0,23707621
BNK0009,2026-01-22,UPI-RAZORPAY-UTR81909,3769678,0,27477299
BNK0010,2026-01-22,UTR3871230 RAZORPAYSOFTWA,3049098,0,30526397
BNK0011,2026-01-23,IMPS/UTR6279418/RAZORPAY/COLLECTION,3215986,0,33742383
BNK0012,2026-01-25,NEFT-RAZORPAYSOFT-UTR8315831-SETTLEMENT,2628074,0,36370457
BNK0013,2026-01-28,UPI-RAZORPAY-UTR6438436,4616537,0,40986994
BNK0014,2026-01-29,IMPS/UTR5781295/RAZORPAY/COLLECTION,1722440,0,42709434
BNK0015,2026-02-05,IMPS/UTR4965789/RAZORPAY/COLLECTION,1909661,0,44619095
BNK0016,2026-02-05,NEFT-ACMESUPPLIES-INV4471,364525,0,44983620
BNK0017,2026-02-05,NEFT-RAZORPAYSOFT-UTR3846949-SETTLEMENT,3814022,0,48797642
BNK0018,2026-02-05,UPI-RAZORPAY-UTR4700025,4190077,0,52987719
BNK0019,2026-02-08,NEFT-RAZORPAYSOFT-SETTLEMENT-BULK,3727162,0,56714881
BNK0020,2026-02-08,UTR3500715 RAZORPAYSOFTWA,2456259,0,59171140
BNK0021,2026-02-09,RTGS RZPYSOFT UTR2022698 NET STLMT,3404435,0,62575575
BNK0022,2026-02-09,CHARGEBACK-REVERSAL-UTR4965789,0,522472,62053103
BNK0023,2026-02-10,NEFT-RAZORPAY-REFUND-ORD00107,0,100829,61952274
BNK0024,2026-02-11,IMPS/UTR7705062/RAZORPAY/COLLECTION,2791979,0,64744253
BNK0025,2026-02-12,IMPS/UTR3135534/RAZORPAY/COLLECTION,3069533,0,67813786
BNK0026,2026-02-12,NEFT-RAZORPAYSOFT-SETTLEMENT-BULK,3856329,0,71670115
BNK0027,2026-02-12,NEFT-RAZORPAYSOFT-SETTLEMENT-BULK,4888134,0,76558249
BNK0028,2026-02-12,NEFT-RAZORPAYSOFT-SETTLEMENT-BULK,3856329,0,80414578
BNK0029,2026-02-12,NEFT-RAZORPAYSOFT-UTR5855124-SETTLEMENT,2700452,0,83115030
BNK0030,2026-02-13,UTR4191175 RAZORPAYSOFTWA,3528580,0,86643610
BNK0031,2026-02-14,UPI-RAZORPAY-UTR1728977,3673094,0,90316704
BNK0032,2026-02-14,UTR3219824 RAZORPAYSOFTWA,2116033,0,92432737
BNK0033,2026-02-15,NEFT-RAZORPAYSOFT-UTR6707197-SETTLEMENT,2971308,0,95404045
BNK0034,2026-02-15,UPI-RAZORPAY-UTR6033115,2567588,0,97971633
BNK0035,2026-02-16,NEFT-RAZORPAY-REFUND-ORD00006,0,437800,97533833
