payment_id,order_id,gross_paise,fee_paise,gst_paise,net_paise,settlement_id,settled_at,utr
PAY00001,ORD00001,898749,17975,3236,877538,STL0001,2026-02-12,UTR1728977
PAY00002,ORD00002,894962,17899,3222,873841,STL0001,2026-02-12,UTR1728977
PAY00003,ORD00003,493143,9863,1775,481505,STL0001,2026-02-12,UTR1728977
PAY00004,ORD00004,213032,4261,767,208004,STL0001,2026-02-12,UTR1728977
PAY00005,ORD00005,402944,8059,1451,393434,STL0001,2026-02-12,UTR1728977
PAY00006,ORD00006,448382,8968,1614,437800,STL0001,2026-02-12,UTR1728977
PAY00007,ORD00007,410663,8213,1478,400972,STL0001,2026-02-12,UTR1728977
PAY00008,ORD00008,446922,8938,1609,436375,STL0002,2026-02-10,UTR5855124
PAY00009,ORD00009,357419,7148,1287,348984,STL0002,2026-02-10,UTR5855124
PAY00010,ORD00010,429201,8584,1545,419072,STL0002,2026-02-10,UTR5855124
PAY00011,ORD00011,788797,15776,2840,770181,STL0002,2026-02-10,UTR5855124
PAY00012,ORD00012,743384,14868,2676,725840,STL0002,2026-02-10,UTR5855124
PAY00013,ORD00013,448591,8972,1615,438004,STL0003,2026-01-20,UTR3871230
PAY00014,ORD00014,716563,14331,2580,699652,STL0003,2026-01-20,UTR3871230
PAY00015,ORD00015,438162,8763,1577,427822,STL0003,2026-01-20,UTR3871230
PAY00016,ORD00016,752729,15055,2710,734964,STL0003,2026-01-20,UTR3871230
PAY00017,ORD00017,766751,15335,2760,748656,STL0003,2026-01-20,UTR3871230
PAY00018,ORD00018,534714,10694,1925,522095,STL0004,2026-01-21,UTR6279418
PAY00019,ORD00019,721088,14422,2596,704070,STL0004,2026-01-21,UTR6279418
PAY00020,ORD00020,767870,15357,2764,749749,STL0004,2026-01-21,UTR6279418
PAY00021,ORD00021,855635,17113,3080,835442,STL0004,2026-01-21,UTR6279418
PAY00022,ORD00022,83659,1673,301,81685,STL0004,2026-01-21,UTR6279418
PAY00023,ORD00023,330746,6615,1191,322940,STL0004,2026-01-21,UTR6279418
PAY00024,ORD00024,724079,14482,2607,706990,STL0005,2026-02-06,
PAY00025,ORD00025,327746,6555,1180,320011,STL0005,2026-02-06,
PAY00026,ORD00026,831177,16624,2992,811561,STL0005,2026-02-06,
PAY00027,ORD00027,325504,6510,1172,317822,STL0005,2026-02-06,
PAY00028,ORD00028,661878,13238,2383,646257,STL0005,2026-02-06,
PAY00029,ORD00029,279974,5599,1008,273367,STL0005,2026-02-06,
PAY00030,ORD00030,567488,11350,2043,554095,STL0005,2026-02-06,
PAY00031,ORD00031,99405,1988,358,97059,STL0005,2026-02-06,
PAY00032,ORD00032,453457,9069,1632,442756,STL0006,2026-02-13,UTR6707197
PAY00033,ORD00033,540785,10816,1947,528022,STL0006,2026-02-13,UTR6707197
PAY00034,ORD00034,630099,12602,2268,615229,STL0006,2026-02-13,UTR6707197
PAY00035,ORD00035,805731,16115,2901,786715,STL0006,2026-02-13,UTR6707197
PAY00036,ORD00036,613054,12261,2207,598586,STL0006,2026-02-13,UTR6707197
PAY00037,ORD00037,215840,4317,777,210746,STL0007,2026-01-26,UTR6438436
PAY00038,ORD00038,807168,16143,2906,788119,STL0007,2026-01-26,UTR6438436
PAY00039,ORD00039,848975,16980,3056,828939,STL0007,2026-01-26,UTR6438436
PAY00040,ORD00040,161579,3232,582,157765,STL0007,2026-01-26,UTR6438436
PAY00041,ORD00041,719987,14400,2592,702995,STL0007,2026-01-26,UTR6438436
PAY00042,ORD00042,258573,5171,931,252471,STL0007,2026-01-26,UTR6438436
PAY00043,ORD00043,849550,16991,3058,829501,STL0007,2026-01-26,UTR6438436
PAY00044,ORD00044,866449,17329,3119,846001,STL0007,2026-01-26,UTR6438436
PAY00045,ORD00045,430612,8612,1550,420450,STL0008,2026-01-07,UTR8973915
PAY00046,ORD00046,110738,2215,399,108124,STL0008,2026-01-07,UTR8973915
PAY00047,ORD00047,132582,2652,477,129453,STL0008,2026-01-07,UTR8973915
PAY00048,ORD00048,559597,11192,2015,546390,STL0008,2026-01-07,UTR8973915
